topicId,topic,domainId,subdomain,subdomainId,domain,type
NET-01-06,Identify people who influenced or contributed to the area of networks.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-01-07,Identifyseveralcontributors to networks and relate their achievements to the area.,NET,Perspectives and impact,NET-01,Networking,Essential
NET-02-01,"Identifyseveralcurrent standards (e.g., RFC’s and IEEE 802) and describe how standards’bodies and thestandardization process impact",NET,Foundations of networking,NET-02,Networking,Essential
NET-02-02,tworking technology.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-03,Contrast the OSI and internet models as they apply to contemporary communicationprotocols.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-04,"Analyze why different technologies are deployed in different contexts of networking,such as topology, bandwidth, distance, and number ofusers.",NET,Foundations of networking,NET-02,Networking,Essential
NET-02-05,Express the basic components and media of network systems and distinguish between LANs andWANs.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-06,Describe how bandwidth and latency impact throughput in a data communications channel.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-07,Deploy a basic Ethernet LAN and compare it to other network topologies.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-08,"Exhibit the concept and allocation of addressing scheme which involves port numbers, IPv4 and IPv6 address.",NET,Foundations of networking,NET-02,Networking,Essential
NET-02-09,Configure a client and a server operating system and connect the client machine to the server over aLAN.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-10,Analyze and compare the characteristics of various communication protocols and how they supportapplication requirements.,NET,Foundations of networking,NET-02,Networking,Essential
NET-02-11,Demonstrate the ability to solve basic problems and perform basic troubleshooting operations onLANs and connected devices.,NET,Foundations of networking,NET-02,Networking,Essential
NET-03-01,Show how thevariables of Shannon’s law impact channel capacity.,NET,Physical layer,NET-03,Networking,Essential
NET-03-02,Compare the bandwidth characteristics of several types of physical communication media.,NET,Physical layer,NET-03,Networking,Essential
NET-03-03,Contrast the historical evolution of the switched and routed infrastructures.,NET,Physical layer,NET-03,Networking,Essential
NET-03-04,Analyze the physical challenges inherent in wireless-fixed and wireless-mobile communicationchannels.,NET,Physical layer,NET-03,Networking,Essential
NET-03-05,"Compare methods of error detection and correction such as parity, cyclic redundancy check (CRC), and error detection and correction (EDC).",NET,Physical layer,NET-03,Networking,Essential
NET-03-06,"Describe the development of modern communication standards, addressing both de jure and defacto standards.",NET,Physical layer,NET-03,Networking,Essential
NET-03-07,Choose the appropriate compression methodology (lossy or lossless) for a given type of application.,NET,Physical layer,NET-03,Networking,Essential
NET-03-08,"Analyze and compare four networking topologies in terms of robustness, expandability, andthroughput.",NET,Physical layer,NET-03,Networking,Essential
NET-04-01,Describe the seven layers of the OSI model.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-02,Contrast the differences between circuit switching and packet switching.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-03,Contrast point-to-point network line configuration with multipoint configuration.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-04,"Illustrate some networking and internetworking devices such as repeaters, bridges, switches, routers, and gateways.",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-05,"Recognize network topologies such as mesh, star, tree, bus, ring, 3-D torus.",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-06,Contrast connection-oriented services with connectionless services.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-07,"Teach network protocol features such as syntax, semantics, and timing.",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-08,"Be aware of layered protocol software (stacks) such as physical-layer networking concepts, data-link layer concepts, internetworking,",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-09,d routing.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-10,"Contrast protocol suites such asIPv4, IPv6, IPvN, and TCP/UDP.",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-11,"Evaluate the operation principles of some main protocols, such as FTP and SNMP.",NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-04-12,Identify network standards and standardization bodies.,NET,Networking and interconnectivity,NET-04,Networking,Essential
NET-05-01,"Describe data communications andtelecommunications models, digital signal processing, topologies, protocols, standards, and",NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-02,chitectures that are in use today.,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-03,Identify the basic concepts of LAN and WAN technologies and topologies.,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-04,Describe different components and requirements of network protocols.,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-05,"Discuss the concepts and the “building blocks” of today’s data communication networks such as switches, routers, and cabling.",NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-06,Describe the operation and function of 802.1 devices and protocols.,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-07,Describe the necessary hardware (switches and routers) and components (routing algorithms and protocols) used to establish,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-08,mmunication between multiple networks.,NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-05-09,"Analyze the effect of various topologies, applications,and devices on network performance topics such as latency, jitter, response time, window size, connection loss,and quality of service.",NET,"Routing, switching, and internetworking",NET-05,Networking,Essential
NET-06-01,"Describe web software stack technologies such as LAMP solution stack (Linux, Apache HTTP server, MySQL, PHP/Perl/Python).",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-02,Describe the key components of a websolution stack using LAMP as an illustrative example.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-03,Illustrateseveralroles and responsibilities of clients and servers for a range of possible applications.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-04,Selectseveraltools that will ensure an efficient approach to implementing various client-server possibilities.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-05,"Design and implement a simple interactive web-based application (for example, a simple web form that collects information from the",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-06,ient and stores it in a file on the server).,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-07,"Contrast peer-to-peer, client-server, and cloud networks.",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-08,"Describeseveralweb technologies such as dynamic HTML and the client-side model, server-side model.",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-09,"Describe severalcharacteristics of web servers such as handling permissions, file management, capabilities of common server",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-10,chitectures.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-11,Use the support tools for website creation and web management.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-12,Design the architecture and services of email systems.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-13,Describe the role of networking in database and file service applications.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-14,"Demonstrate the working process of DNS, steps of a resolver looking up a remotename.",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-15,Analyze the impact on the world-wide web portion of the internet ifmost ofall routers ceased to function.,NET,Applicationnetworking services,NET-06,Networking,Essential
NET-06-16,"Solve the problem of distributing content, the architecture of content distribution network and peer-to-peer network.",NET,Applicationnetworking services,NET-06,Networking,Essential
NET-07-01,Proposeseveralmain issues related to network management.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-02,"Discuss four typical architectures for network management including the management console,aggregators,and device agents.",NET,Networkmanagement,NET-07,Networking,Essential
NET-07-03,Demonstrate the management of a device such as an enterpriseswitch through a managementconsole.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-04,"Compare various network management techniques as they apply to wired and wireless networks such as topics on devices, users,quality of service, deployment, and configuration of these technologies.",NET,Networkmanagement,NET-07,Networking,Essential
NET-07-05,Discuss the address resolution protocol (ARP) for associating IP addresses with MAC addresses.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-06,Exhibitthe concepts of domain names and domain name systems (DNS).,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-07,Describe the dynamic host configuration protocol (DHCP).,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-08,Describeseveralissues related to internet service providers (ISPs).,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-09,Illustrateseveralquality-of-service issues such as performance and failure recovery.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-10,Describe ad hoc networks.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-11,Teach troubleshooting principles and techniques related to networks.,NET,Networkmanagement,NET-07,Networking,Essential
NET-07-12,Describe managementfunctional areas related to networks.,NET,Networkmanagement,NET-07,Networking,Essential
PFT-01-01,Describe how the historical development of hardware and operating system computing platforms produced the computing operating systems we havetoday.,PFT,Perspectives and impact,PFT-01,Platform Technologies,Essential
PFT-02-01,Describe how the components and functions of an operating system work together to provide a computing platform.,PFT,Operating systems,PFT-02,Platform Technologies,Essential
PFT-02-02,Demonstrate the ability to use both Windows and Unix-class systems.,PFT,Operating systems,PFT-02,Platform Technologies,Essential
PFT-02-03,Describe how the similarities anddifferences between Windows and Unix-class systems provide different advantages for these,PFT,Operating systems,PFT-02,Platform Technologies,Essential
PFT-02-04,mputing platforms.,PFT,Operating systems,PFT-02,Platform Technologies,Essential
PFT-02-05,Demonstrate the main benefits of using scripts to perform operating systems tasks by automating a computing task.,PFT,Operating systems,PFT-02,Platform Technologies,Essential
PFT-03-01,Analyze the power requirements for a computer system.,PFT,Computing infrastructures,PFT-03,Platform Technologies,Essential
PFT-03-02,Justify the need for power and heat budgets within an IT environment.,PFT,Computing infrastructures,PFT-03,Platform Technologies,Essential
PFT-03-03,Describe how the various types of servers meet different organizational requirements.,PFT,Computing infrastructures,PFT-03,Platform Technologies,Essential
PFT-03-04,Justify the need for hardware and software integration.,PFT,Computing infrastructures,PFT-03,Platform Technologies,Essential
PFT-04-01,Describe how numbers and characters are represented in a computer.,PFT,Architecture and organization,PFT-04,Platform Technologies,Essential
PFT-04-02,"Produce a block diagram, including interconnections, of the main parts of a computer.",PFT,Architecture and organization,PFT-04,Platform Technologies,Essential
PFT-04-03,Describe how a computer stores and retrieves information toandfrom memory and hard drives.,PFT,Architecture and organization,PFT-04,Platform Technologies,Essential
PFT-04-04,"Produce a definition for each of these terms: bus, handshaking, serial, parallel, data rate.",PFT,Architecture and organization,PFT-04,Platform Technologies,Essential
PFT-05-01,"Design a simple finite state machine with at leastsixstatesandfourconditional branches, then build and troubleshoot it.",PFT,Application execution environment,PFT-05,Platform Technologies,Essential
PFT-05-02,Compare the performance of two different computers with two different operating systems.,PFT,Application execution environment,PFT-05,Platform Technologies,Essential
PFT-05-03,Illustrate the advantages and disadvantages of the five main hardware implementation options.,PFT,Application execution environment,PFT-05,Platform Technologies,Essential
SPA-01-01,Contrast system integration and system architecture.,SPA,Perspectives and impact,SPA-01,System Paradigms,Essential
SPA-01-02,Explain the system integration from theorganizationalperspective.,SPA,Perspectives and impact,SPA-01,System Paradigms,Essential
SPA-02-01,Compare the various requirements modelingtechniques.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-02,Contrast between non-functional and functional requirements.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-03,Demonstrate the structure of a detailed use case.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-04,Express a use case based on relating functional requirements.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-05,Illustrate the types of event flows in a use case and under which conditions they occur.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-06,Describe how requirements gathering complements a system development lifecycle.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-02-07,Describe how use cases drive testing throughout a system lifecycle.,SPA,Requirements,SPA-02,System Paradigms,Essential
SPA-03-01,Demonstrate “architecture” in the context of system integration and architecture reflecting IEEE Standard 1471.,SPA,System architecture,SPA-03,System Paradigms,Essential
SPA-03-02,Justify how complex systems can be represented using architectural views and how this facilitates system evolution over time.,SPA,System architecture,SPA-03,System Paradigms,Essential
SPA-03-03,Describe how some specific architectural views relate to the systemlifecycle.,SPA,System architecture,SPA-03,System Paradigms,Essential
SPA-03-04,"Contrast the SOA, Zachman Framework, ITIL, COBIT, and ISO 20,000 architectural frameworks.",SPA,System architecture,SPA-03,System Paradigms,Essential
SPA-03-05,Describe how modeling tools support the description and management of architectural views with examples.,SPA,System architecture,SPA-03,System Paradigms,Essential
SPA-04-01,Contrast between build and buy in software and hardware acquisition.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-02,Demonstrate the advantages and drawbacks of building and buying in general.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-03,Contrast between in-sourcing and out-sourcing for the acquisition of IT services and support.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-04,Contrast the advantages anddrawbacks of in-sourcing and out-sourcing in general.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-05,"Demonstrate the importance of testing, evaluation, and benchmarking in any IT sourcing decision.",SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-06,Demonstrate primary components in a request for proposal (RFP).,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-07,Contrast the advantages and drawbacks ofusing RFPs in an IT sourcing decision.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-08,Express the importance of a well-structured contract in any IT sourcing decision.,SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-04-09,"Given anRFP, justify one or more products that satisfy the criteria of the RFP.",SPA,Acquisition and sourcing,SPA-04,System Paradigms,Essential
SPA-05-01,Express different ways for current testing standards.,SPA,Testing and quality assurance,SPA-05,System Paradigms,Essential
SPA-05-02,Demonstrate the various components of usability testing.,SPA,Testing and quality assurance,SPA-05,System Paradigms,Essential
SPA-05-03,Express different ways to execute and evaluate an acceptance test.,SPA,Testing and quality assurance,SPA-05,System Paradigms,Essential
SPA-06-01,Express different ways for middlewareplatforms.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-02,Demonstrate the advantages and disadvantages of some middleware platforms.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-03,Justify major considerations for the selection of an enterprise integration platform.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-04,Express different ways of integration using the “wrapper” approach.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-05,Express different ways of integration using the “glue code” approach.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-06,Describe how a framework facilitates integration of components.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-07,Describe how the data warehouse concept relates to enterprise information integration.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-06-08,Describe how integration choices affect testing andevaluation.,SPA,Integration and deployment,SPA-06,System Paradigms,Essential
SPA-07-01,Compare alternative vendors of systems resources and justify a selection.,SPA,System governance,SPA-07,System Paradigms,Essential
SPA-07-02,"Develop policies for a networked system in an application domain (e.g., health care organization).",SPA,System governance,SPA-07,System Paradigms,Essential
SPA-07-03,"Develop policies for a network that includes low capacity embedded devices (e.g., a smart home).",SPA,System governance,SPA-07,System Paradigms,Essential
SPA-07-04,Develop a disaster recovery plan for a small enterprise.,SPA,System governance,SPA-07,System Paradigms,Essential
SPA-08-01,Design and implement a user and group administrative structure that allows users to use system resources effectively.,SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-08-02,Design and construct development resources regarding administrative policies for different types of users.,SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-08-03,Develop and monitor project plans for major system administration activities.,SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-08-04,"Install, configure, and test appropriate software and other resources.",SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-08-05,"Install, configure, and test automated device management technologies.",SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-08-06,Design and implement a backup and restore strategy for a system.,SPA,    Operational activities,SPA-08,System Paradigms,Essential
SPA-09-01,Describe the scope of each operational domain in a system.,SPA,Operational domains,SPA-09,System Paradigms,Essential
SPA-09-02,Develop and justify policies for each domain that allow for smooth interaction between domains without sacrificing security.,SPA,Operational domains,SPA-09,System Paradigms,Essential
SPA-09-03,Develop and justify resource allocation plans for various operational domains.,SPA,Operational domains,SPA-09,System Paradigms,Essential
SPA-10-01,Design andimplement a backup and restore strategy for a system.,SPA,Performance analysis,SPA-10,System Paradigms,Essential
SPA-10-02,Test the veracity of a disaster recovery plan for a small enterprise.,SPA,Performance analysis,SPA-10,System Paradigms,Essential
SPA-10-03,Confirm the accuracy and completeness of a backup.,SPA,Performance analysis,SPA-10,System Paradigms,Essential
SWF-01-01,Reflecton how the creation of software has changed our lives.,SWF,Perspectives and impact,SWF-01,Software Fundamentals,Essential
SWF-01-02,"Synthesize how software has helped people, organizations, and society to solve problems.",SWF,Perspectives and impact,SWF-01,Software Fundamentals,Essential
SWF-01-03,Describe several ways in whichsoftware has created new knowledge.,SWF,Perspectives and impact,SWF-01,Software Fundamentals,Essential
SWF-02-01,"Comparemultiple levels of abstraction to write programs (constants, expressions, statements, procedures, parameterization, and",SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-02,braries).,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-03,"Select appropriate built-in data types and library data structures (abstract data types) to model, represent, and process program data.",SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-04,Use procedures and parameterization to reduce the complexity of writing and maintaining programs and to generalize solutions.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-05,"Explain multiple levels of hardware architecture abstractions (processor, special purpose cards, memory organization, and storage) and software abstractions (source code, integrated components, running processes) involved in developing complex programs.",SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-06,Create new programs by modifying and combining existing programs.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-07,Explain abstractions used to represent digital data.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-08,Develop abstractions when writing a program or an IT artifact.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-09,Apply decomposition strategy to design a solution to a complex problem.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-10,Explain appropriateness of iterative and recursive problem solutions.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-02-11,Write programs that use iterative and recursive techniques to solve computational problems.,SWF,Concepts and techniques,SWF-02,Software Fundamentals,Essential
SWF-04-01,"Develop a correct program to solve problems by using an iterative process, documentation of program components, and consultation with program users.",SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-04-02,"Use appropriate abstractions to facilitate writing programs: collections, procedures, application programming interfaces, and libraries.",SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-04-03,"Evaluate how a program is written in terms of program style, intended behavior on specific inputs, correctness of program components,",SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-04-04,d descriptions of program functionality.,SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-04-05,"Develop a program by using tools relevant to current industry practices: version control, project hosting, and deployment services.",SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-04-06,"Demonstrate collaboration strategies thatconsidermultiple perspectives, diverse talents,andsociocultural experiences.",SWF,Program development,SWF-04,Software Fundamentals,Essential
SWF-05-01,"Writeprograms that use data structures (built-in, library, and programmer-defined): strings, lists, and maps.",SWF,Fundamental data structures,SWF-05,Software Fundamentals,Essential
SWF-05-02,Analyze the performance of different implementations of data structures.,SWF,Fundamental data structures,SWF-05,Software Fundamentals,Essential
SWF-05-03,Decide on appropriate data structures for modeling a given problem.,SWF,Fundamental data structures,SWF-05,Software Fundamentals,Essential
SWF-05-04,Explainappropriateness of selected data structures.,SWF,Fundamental data structures,SWF-05,Software Fundamentals,Essential
SWF-06-01,Describe why and how algorithms solve computational problems.,SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-06-02,Create algorithms to solve a computational problem.,SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-06-03,"Explain how programs implement algorithms interms of instruction processing, program execution, and running processes.",SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-06-04,"Apply appropriate mathematical concepts in programing: expressions, abstract data types, recurrence relations, and formal reasoning on",SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-06-05,gorithm’s efficiency and correctness.,SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-06-06,Evaluate empirically the efficiency of an algorithm.,SWF,Algorithm principles and development,SWF-06,Software Fundamentals,Essential
SWF-07-01,"Create web and mobile apps with effective interfaces that respond to events generated by rich user interactions, sensors, andother",SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-02,pabilities of the computingdevice.,SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-03,"Analyze usability, functionality, and suitability of an app program.",SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-04,Collaborate in the creation of interesting and relevant apps.,SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-05,"Build and debug app programs using standard libraries, unit testing tools, and debuggers.",SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-06,"Evaluate readability andclarity of app programs based on program style, documentation, pre-and post-conditions, and procedural",SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
SWF-07-07,stractions.,SWF,Modern app programming practices,SWF-07,Software Fundamentals,Essential
UXD-01-01,Show when human factors first became an issue in computer hardware and software design.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-02,Define the meaning of human-computer interaction or HCI.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-03,Define the meaning of user experience design or UXD.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-04,Describe the evolution from human factors to User Experience Design (UX).,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-05,Contrast the physical and non-physical aspects of UXD.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-06,Identify several modern high-tech computing technologies that present UXD challenges.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-01-07,Describe several reasons for making UXD an essential part of the information technology discipline.,UXD,Perspectives and impact,UXD-01,User Experience Design,Essential
UXD-02-01,"Explain the conceptual terms for analyzing human interaction with products (e.g., affordance and feedback).",UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-02,Analyze several different user populations or user culturesregardingtheir abilities to use software and hardware products.,UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-03,Explain the importance of user abilities and characteristics in the usability of products.,UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-04,Illustrate several ways cognitive and social principles apply to product design.,UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-05,Illustrate several ways thatphysical aspects of product design affect usability.,UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-06,"Identify several goals, activities,and tasks related to an UX project.",UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-02-07,Describe how creative innovation techniques such as brainstorming can lead to optimal user interfaces.,UXD,Human factors in design,UXD-02,User Experience Design,Essential
UXD-03-01,Explain how the user interface (UI) and interaction affect usability.,UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-02,Design an interface that effectively employs localization and globalization technologies.,UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-03,"Adapt an interface to more effectively relate to users’ characteristics(e.g.,age,education, cultural differences).",UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-04,Design a user experience using storyboarding techniques.,UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-05,Design and justify a low-fidelity prototype for a system or product.,UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-06,Design and justify a high-fidelity prototype for a system or product.,UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-03-07,"Demonstrate the advantagesof user interface modalities other than windows, icons, menus and pointers in some situations.",UXD,Effective interfaces,UXD-03,User Experience Design,Essential
UXD-04-01,Describe different types of interactive environments.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-02,Describe several differences in developing user interfaces for different application environments and types of services.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-03,Represent the connection between the design of a user interface and a model of user domain expertise.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-04,Compare descriptions of cognitive models with the model names.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-05,Propose cognitive models to the design of application user interfaces.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-06,Argue for social psychology in the design of a user interface,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-07,"Show how contextual, societal, cultural, and organizational factors can be applied in the design of a user interface.",UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-04-08,Analyze an IT mediated service with several different user types and various stakeholders including a service provider.,UXD,Application domain aspects,UXD-04,User Experience Design,Essential
UXD-05-01,"Illustrate how a user develops an emotional reaction to or attachment to a product, service, or system.",UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-02,Describe how a user’s emotional reaction to an interface can interfere with product or service acceptance.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-03,Describe how a user’s emotional reaction to a product can advance product or service acceptance.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-04,Demonstrate several general principlesused in the heuristic evaluation of a user interface design.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-05,"Teach usability performance and preference metrics: learning, task time, task completion, effectiveness, and user satisfaction.",UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-06,Describe common usability guidelines and standards.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-07,Demonstrate several ways of measuring application usability employing a heuristic evaluation.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-08,Produce documentation for an existing system or product with storyboarding techniques.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-09,Create an appropriate usability test plan.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-05-10,Propose several ways to measure productusability from performance and preference metrics.,UXD,Affective user experiences,UXD-05,User Experience Design,Essential
UXD-07-01,Describe several main principles for universal design.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-02,Illustrate the advantages and disadvantages of biometric access control.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-03,Describe the symptomsof repetitive stress syndrome; list some of the approaches that can ameliorate the problem.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-04,Use accessibility guidelines and standards in the design of a user interface.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-05,Design a user interface to effectively use accessibility features such as an automatednarrator.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-06,Describe a criterion for choosing a biometric access system for a given application.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-07,"Propose an assistive technology computer device for persons with visual, hearing, cognitive, or motor difficulties.",UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-08,Describe a possible interface that allows auser with severe physical disabilities to use a website.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-07-09,Describe the structure and components of an assistive technology.,UXD,Assistive technologies and accessibility,UXD-07,User Experience Design,Essential
UXD-08-01,Express the advantages and disadvantages for using a human-centered software development approach.,UXD,User advocacy,UXD-08,User Experience Design,Essential
UXD-08-02,Analyze and model the user environment and context of use before designing a software application.,UXD,User advocacy,UXD-08,User Experience Design,Essential
