topicId,topic,domainId,domain,subdomain,subdomainId,Tier,CS Courses
GV-03-02,"Volumes, voxels, and point-based representations",GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-03,Parametricpolynomial curves and surfaces,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-04,Implicit representation of curves and surfaces,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-05,"Approximation techniques such as polynomial curves, Bezier curves, spline curves and surfaces, and non-",GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-06,"Surface representation techniques including tessellation, mesh representation, mesh fairing,and mesh ",GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-07,Spatial subdivision techniques,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-08,"Procedural models such as fractals, generative modeling, and L-systems",GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-09,"Graftals, cross referenced with programming languages (grammars to generated pictures)",GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-10,Elastically deformableand freeform deformable models,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-11,Subdivision surfaces,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-12,Multiresolution modeling,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-13,Reconstruction,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-03-14,Constructive Solid Geometry (CSG) representation,GV,Graphics and Visualization,Geometric Modeling ,GV-03,Elective,
GV-04-01,"Solutions and approximations to the rendering equation, for example:",GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-02,"Time (motion blur), lens position (focus), and continuous frequency (color) and their impact on rendering",GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-03,Shadow mapping,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-04,Occlusion culling,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-05,Bidirectional Scattering Distribution function (BSDF) theory and microfacets,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-06,Subsurface scattering,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-07,Area light sources,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-08,Hierarchical depth buffering,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-09,"The Light Field, image-based rendering",GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-10,Non-photorealistic rendering,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-11,GPU architecture,GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-04-12,"Human visual systems including adaptation to light, sensitivity to noise, and flicker fusion",GV,Graphics and Visualization,Advanced Rendering,GV-04,Elective,
GV-05-01,Forward and inverse kinematics,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-02,Collision detection and response,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,COMP 3609
GV-05-03,"Procedural animation using noise, rules (boids/crowds), and particle systems",GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-04,Skinning algorithms,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-05,"Physics based motions including rigid body dynamics, physical particle systems, mass-spring networks for ",GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,COMP 3609
GV-05-06,Key-frame animation,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-07,Splines,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-08,"Data structures forrotations, such as quaternions",GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-09,Camera animation,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-05-10,Motion capture,GV,Graphics and Visualization,Computer Animation ,GV-05,Elective,
GV-06-01,"Visualization of 2D/3D scalar fields: colormapping, isosurfaces",GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-02,"Direct volume data rendering: ray-casting, transfer functions, segmentation",GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-03,Visualization of:,GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-04,Perceptual and cognitive foundationsthat drive visual abstractions,GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-05,Visualization design,GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-06,Evaluation of visualization methods,GV,Graphics and Visualization,Visualization ,GV-06,Elective,
GV-06-07,Applications of visualization,GV,Graphics and Visualization,Visualization ,GV-06,Elective,
HC-01-01,"Contexts for HCI (anything with a user interface, e.g.,webpage, business applications, mobile applications, ",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-02,"Processes for user-centered development, e.g., early focus on users, empirical testing, iterative design",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-03,"Different measures for evaluation, e.g.,utility, efficiency, learnability, user satisfaction",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-04,Usability heuristics and the principles of usability testing,HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-05,"Physical capabilities that inform interaction design, e.g.,color perception, ergonomics",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-06,"Cognitive models that inform interaction design, e.g.,attention, perception and recognition, movement, and ",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-07,"Social models that inform interaction design, e.g.,culture, communication, networks and organizations",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 3603
HC-01-08,Principles of good design and good designers; engineering tradeoffs,HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,COMP 2603
HC-01-09,"Accessibility, e.g.,interfaces for differently-abled populations (e.g.,blind, motion-impaired)",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,
HC-01-10,"Interfaces for differently-aged population groups (e.g., children, 80+)",HCI,Human-Computer Interaction,Foundations ,HC-01,Tier 1,
HC-02-01,Principles of graphical user interfaces (GUIs),HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,COMP 3603
HC-02-02,"Elements of visual design (layout, color, fonts, labeling)",HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,"COMP 2603,COMP 3603"
HC-02-03,"Task analysis, including qualitative aspects of generating task analytic models",HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,COMP 3603
HC-02-04,Low-fidelity (paper) prototyping,HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,
HC-02-05,"Quantitative evaluation techniques, e.g., keystroke-level evaluation",HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,
HC-02-06,Help and documentation,HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,
HC-02-07,Handling human/system failure,HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,COMP 3603
HC-02-08,User interface standards ,HCI,Human-Computer Interaction,Designing Interaction ,HC-02,Tier 2,COMP 3603
HC-03-01,"Software Architecture Patterns, e.g., Model-View controller; command objects, online, offline (cross  ",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,"COMP 2603,COMP 3607"
HC-03-02,"Interaction Design Patterns: visual hierarchy, navigational distance",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,COMP 3603
HC-03-03,Event management and user interaction ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,COMP 2603
HC-03-04,Geometry management (cross-reference GV/Geometric Modelling) ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-05,Choosing interaction styles and interaction techniques ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-06,"Presenting information: navigation, representation, manipulation",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-07,"Interface animation techniques (e.g., scene graphs) ",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-08,Widget classes and libraries,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-09,"Modern GUI libraries (e.g. iOS, Android, JavaFX) GUIbuilders and UI programming environments (cross-",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,COMP 2603
HC-03-10,Declarative Interface Specification: Stylesheets and DOMs ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-11,Data-driven applications (database-backed web pages) ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-12,Cross-platform design ,HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,
HC-03-13,"Design for resource-constrained devices(e.g. small, mobile devices)",HCI,Human-Computer Interaction,Programming Interactive Systems,HC-03,Elective,COMP 3603
HC-04-01,"Approaches to, and characteristics of, the design process",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-02,Functionality and usability requirements (cross-reference to SE/Requirements Engineering),HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-03,"Techniques for gathering requirements, e.g.,interviews, surveys, ethnographic and contextual enquiry",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-04,"Techniques and tools for the analysis and presentation of requirements, e.g.,reports, personas",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,COMP 3603
HC-04-05,"Prototyping techniques and tools, e.g.,sketching, storyboards, low-fidelity prototyping, wireframes ",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-06,"Evaluation without users, using both qualitative and quantitative techniques, e.g.,walkthroughs, GOMS, ",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,COMP 3603
HC-04-07,"Evaluation with users, e.g.,observation, think-aloud, interview, survey, experiment",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,COMP 3603
HC-04-08,"Challenges to effective evaluation, e.g.,sampling, generalization",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-09,Reporting the results of evaluations,HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-04-10,"Internationalization, designing for users fromother cultures, cross-cultural",HCI,Human-Computer Interaction,User-Centered Design and Testing,HC-04,Elective,
HC-05-01,Choosing interaction styles and interaction techniques,HCI,Human-Computer Interaction,New Interactive Technologies,HC-05,Elective,
HC-05-02,"Representing information to users: navigation, representation, manipulation",HCI,Human-Computer Interaction,New Interactive Technologies,HC-05,Elective,
HC-05-03,"Approaches to design, implementation and evaluation of non-mouse interaction",HCI,Human-Computer Interaction,New Interactive Technologies,HC-05,Elective,
HC-06-01,"Asynchronous group communication, e.g., e-mail, forums, social networks",HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-02,"Synchronous group communication, e.g.,chat rooms, conferencing, online games",HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-03,"Social media, social computing, and social network analysis",HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-04,"Online collaboration, 'smart' spaces, and social coordination aspects of workflow technologies",HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-05,Online communities,HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-06,"Software characters and intelligent agents, virtual worlds and avatars (cross-reference IS/Agents)",HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-06-07,Social psychology,HCI,Human-Computer Interaction,Collaboration and  C ommunication ,HC-06,Elective,
HC-07-01,t-tests,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-02,ANOVA,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-03,"Randomization (non-parametric) testing, within vs. between-subjects design",HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-04, C alculating effect size,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-05,Exploratory data analysis,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-06,Presenting statistical data,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-07-07,Combiningqualitative and quantitative results,HCI,Human-Computer Interaction,Statistical Methods for HCI,HC-07,Elective,
HC-08-01,Applied psychology and security policies,HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,
HC-08-02,Security economics,HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,
HC-08-03,"Regulatory environments – responsibility, liability and self-determination",HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,
HC-08-04,Organizational vulnerabilities and threats,HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,INFO 2605
HC-08-05,Usability design and security,HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,COMP 3603
HC-08-06,"Pretext, impersonation and fraud, e.g., phishing and spear phishing (cross-reference IAS/Threats and ",HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,
HC-08-07,"Trust, privacy and deception",HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,INFO 2605
HC-08-08,"Biometric authentication (camera, voice)",HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,INFO 2604
HC-08-09,Identity management,HCI,Human-Computer Interaction,Human Factors and Security ,HC-08,Elective,
HC-09-01,Intellectual styles and perspectives to technology andits interfaces,HCI,Human-Computer Interaction,Design-Oriented HCI ,HC-09,Elective,INFO 2605
HC-09-02,Consideration of HCI as a designdiscipline,HCI,Human-Computer Interaction,Design-Oriented HCI ,HC-09,Elective,
HC-09-03,Critically reflective HCI,HCI,Human-Computer Interaction,Design-Oriented HCI ,HC-09,Elective,
HC-09-04,Indicative domains of application,HCI,Human-Computer Interaction,Design-Oriented HCI ,HC-09,Elective,
HC-10-01,Output,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-02,User input ,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-03,Physical modelling and rendering,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-04,System architectures ,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-05,Networking,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-06,"CIA (Confidentiality, Integrity, Availability)",HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,INFO 2605
HC-10-07,"Concepts of risk, threats, vulnerabilities, and attack vectors (cros- reference SE/Software Project ",HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-08,"Authentication and authorization, access control (mandatory vs. discretionary)",HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-09,Concept of trust and trustworthiness,HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,
HC-10-10,"Ethics (responsible disclosure). (cross-reference SP/Professional Ethics/Accountability, responsibility and ",HCI,Human-Computer Interaction,"Mixed, Augmented and Virtual Reality",HC-10,Elective,INFO 2605
IA-01-01,Least privilege and isolation  (cross-reference OS/Security and Protection/Policy/mechanism separation ,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-02,"Fail-safe defaults (cross-referenceSE/Software Construction/ Coding practices: techniques, ",IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-03,"Open design (cross-reference SE/Software Evolution/ Software development in the context of large, pre-",IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-04,End-to-end security (cross-reference SF/Reliability through Redundancy/ How errors increase the longer ,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-05,"Defense in depth  (e.g., defensive programming, layered defense) ",IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-06,Security by design (cross-reference SE/Software Design/System design principles),IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-07,Tensions between security and other design goals,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 1,
IA-01-08,Complete mediation,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-01-09,Use of vetted security components,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-01-10,"Economy of mechanism (reducing trusted computing base, minimize attack surface) (cross-reference ",IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-01-11,Usable security (cross-reference HCI/Foundations/Cognitive models that inform interaction design),IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-01-12,Security composability ,IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-01-13,"Prevention, detection, and deterrence (cross-reference SF/Reliability through Redundancy/Distinction ",IAS,Information Assurance and Security,Principles of Secure Design,IA-01,Tier 2,
IA-02-01,Input validation and data sanitization (cross-reference SDF/Development Methods/Program Correctness),IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 1,INFO 2604
IA-02-02,Choice of programming languageand type-safe languages,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 1,
IA-02-03,Examples of input validation and data sanitization errors (cross-reference SDF/Development ,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 1,
IA-02-04,Race conditions (cross-reference SF/Parallelism/Parallel programming and PD/Parallel Architecture/Shared ,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 1,
IA-02-05,Correct handling of exceptions and unexpectedbehaviors (cross-reference SDF/Development ,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 1,INFO 2604
IA-02-06,Correct usage of third-party components (cross-reference SDF/Development Methods/program correctness ,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 2,
IA-02-07,Effectively deploying security updates (cross-reference OS/Security and Protection/Security methods and ,IAS,Information Assurance and Security,Defensive Programming,IA-02,Tier 2,
IA-02-08,Information flow control,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-09,Correctly generating randomness for security purposes,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-10,Mechanisms for detecting andmitigating input and data sanitization errors,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-11,Fuzzing,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-12,Static analysis and dynamic analysis,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-13,Program verification,IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-14,"Operating system support (e.g., address space randomization, canaries)",IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-02-15,"Hardware support (e.g., DEP, TPM)",IAS,Information Assurance and Security,Defensive Programming,IA-02,Elective,
IA-03-01,"Attacker goals, capabilities, and motivations (such as  underground economy, digital espionage, ",IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Tier 2,INFO 2605
IA-03-02,"Examples of malware (e.g., viruses, worms, spyware, botnets, Trojan horses or rootkits)",IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Tier 2,INFO 2605
IA-03-03,Denial of Service (DoS) and Distributed Denial of Service (DDoS),IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Tier 2,
IA-03-04,"Social engineering (e.g., phishing) (cross-reference SP/Social Context/Social implications of computing in ",IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Tier 2,
IA-03-05,Attacks on privacy and anonymity (cross-reference HCI/Foundations/Social models that inform interaction ,IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Elective,INFO 2605
IA-03-06,Malware/unwanted communication such as covert channelsand steganography,IAS,Information Assurance and Security,Threats and Attacks ,IA-03,Elective,
IA-04-01,"Network specific threats and attack types (e.g., denial of service, spoofing, sniffing and traffic redirection, ",IAS,Information Assurance and Security,Network Security ,IA-04,Tier 2,
IA-04-02,Use of cryptography for data and network security,IAS,Information Assurance and Security,Network Security ,IA-04,Tier 2,
IA-04-03,"Architectures for secure networks (e.g., secure channels, secure routing protocols, secure DNS, VPNs, ",IAS,Information Assurance and Security,Network Security ,IA-04,Tier 2,
IA-04-04,"Defense mechanisms and countermeasures (e.g., network monitoring, intrusion detection, firewalls, ",IAS,Information Assurance and Security,Network Security ,IA-04,Tier 2,INFO 2604
IA-04-05,"Security for wireless, cellular networks (cross-reference NC/Mobility/Principles of cellular networks; ",IAS,Information Assurance and Security,Network Security ,IA-04,Elective,
IA-04-06,"Other non-wired networks (e.g., ad hoc, sensor, and vehicular networks) ",IAS,Information Assurance and Security,Network Security ,IA-04,Elective,
IA-04-07,Censorship resistance,IAS,Information Assurance and Security,Network Security ,IA-04,Elective,
IA-04-08,"Operational network security management (e.g., configure network access control)",IAS,Information Assurance and Security,Network Security ,IA-04,Elective,
IA-05-01,"BasicCryptography Terminology coveringnotions pertaining to the different (communication) partners, ",IAS,Information Assurance and Security,Cryptography,IA-05,Tier 2,INFO 2604
IA-05-02,"Cipher types(e.g., Caesar cipher, affine cipher) together with typical attack methodssuch as frequency ",IAS,Information Assurance and Security,Cryptography,IA-05,Tier 2,INFO 2604
IA-05-03,Public Key Infrastructure support for digital signature and encryption and its challenges,IAS,Information Assurance and Security,Cryptography,IA-05,Tier 2,INFO 2604
IA-05-04,"Mathematical Preliminaries essential for cryptography, includingtopics in linear algebra, number theory, ",IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-05,Cryptographic primitives:,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-06,Symmetric key cryptography,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-07,Public key cryptography:,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-08,"Authenticated key exchange protocols, e.g., TLS",IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-09,"Cryptographic protocols: challenge-response authentication, zero-knowledge protocols, commitment, ",IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-10,"Motivate concepts using real-world applications, e.g., electronic cash, secure channels between clients and ",IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-11,Security definitions and attacks on cryptographic primitives:,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-12,Cryptographic standards and references implementations,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-05-13,Quantum cryptography,IAS,Information Assurance and Security,Cryptography,IA-05,Elective,
IA-06-01,Web security model,IAS,Information Assurance and Security,Web Security,IA-06,Elective,
IA-06-02,"Session management, authentication",IAS,Information Assurance and Security,Web Security,IA-06,Elective,INFO 2604
IA-06-03,Application vulnerabilities and defenses,IAS,Information Assurance and Security,Web Security,IA-06,Elective,
IA-06-04,Client-side security,IAS,Information Assurance and Security,Web Security,IA-06,Elective,
IA-06-05,"Server-side security tools, e.g. Web Application Firewalls (WAFs) and fuzzers",IAS,Information Assurance and Security,Web Security,IA-06,Elective,
IA-07-01,Code integrity and code signing,IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-02,"Secure boot, measured boot, and root of trust",IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-03,Attestation,IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-04,TPM and secure co-processors,IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-05,"Security threats from peripherals, e.g., DMA, IOMMU",IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-06,"Physical attacks: hardware Trojans, memory probes, cold boot attacks",IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-07,"Security of embedded devices, e.g., medical devices, cars",IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-07-08,Trusted path,IAS,Information Assurance and Security,Platform Security,IA-07,Elective,
IA-08-01,Privacy policy  (cross-reference SP/Social Context/Social implications of computing in a networked world; ,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-02,Inference controls/statistical disclosure limitation,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-03,"Backup policy, password refresh policy",IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-04,Breach disclosure policy,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-05,Data collection and retention policies,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-06,Supply chain policy,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-08-07,Cloud security tradeoffs,IAS,Information Assurance and Security,Security Policy and Governance,IA-08,Elective,
IA-09-01,Basic Principles and methodologies for digital forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-02,Design systems with forensic needs in mind,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-03,Rules of Evidence – general concepts and differences between jurisdictions and Chain of Custody,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-04,Search and Seizure of evidence: legal and procedural requirements,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-05,DigitalEvidence methods and standards,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-06,Techniques and standards for Preservation of Data,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-07,Legal and Reporting Issues including working as an expert witness,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-08,OS/File System Forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-09,Application Forensics ,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-10,Web Forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-11,Network Forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-12,Mobile Device Forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-13,Computer/network/system attacks,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-14,Attack detection and investigation,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-09-15,Anti-forensics,IAS,Information Assurance and Security,Digital Forensics,IA-09,Elective,
IA-10-01,Building security into the software development lifecycle (cross-reference SE/Software Processes),IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IA-10-02,Secure design principles and patterns,IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IA-10-03,Secure software specifications and requirements ,IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IA-10-04,Secure software development practices (cross-reference SE/Software Construction),IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IA-10-05,Secure testing - the process of testing that security requirements are met (including static and dynamic ,IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IA-10-06,Software quality assurance andbenchmarking measurements,IAS,Information Assurance and Security,Secure Software Engineering,IA-10,Elective,
IM-01-01,Information systems as socio-technical systems,IM,Information Management,InformationManagementConcepts,IM-01,Tier 1,
IM-01-02,Basic information storage and retrieval(IS&R) concepts,IM,Information Management,InformationManagementConcepts,IM-01,Tier 1,
IM-01-03,Information capture and representation,IM,Information Management,InformationManagementConcepts,IM-01,Tier 1,
IM-01-04,"Supporting human needs: searching, retrieving, linking, browsing, navigating",IM,Information Management,InformationManagementConcepts,IM-01,Tier 1,
IM-01-05,Information management applications ,IM,Information Management,InformationManagementConcepts,IM-01,Tier 2,
