Topic ID,SubDomain ID,Sub Domain,Domain,Domain ID,Courses,Topic,Courses
GV-03-06,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,"Surface representation techniques including tessellation, mesh representation, mesh fairing,and mesh ",
GV-03-07,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Spatial subdivision techniques,
GV-03-08,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,"Procedural models such as fractals, generative modeling, and L-systems",
GV-03-09,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,"Graftals, cross referenced with programming languages (grammars to generated pictures)",
GV-03-10,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Elastically deformableand freeform deformable models,
GV-03-11,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Subdivision surfaces,
GV-03-12,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Multiresolution modeling,
GV-03-13,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Reconstruction,
GV-03-14,GV-03,Geometric Modeling ,Graphics and Visualization,GV,,Constructive Solid Geometry (CSG) representation,
GV-04-01,GV-04,Advanced Rendering,Graphics and Visualization,GV,,"Solutions and approximations to the rendering equation, for example:",
GV-04-02,GV-04,Advanced Rendering,Graphics and Visualization,GV,,"Time (motion blur), lens position (focus), and continuous frequency (color) and their impact on rendering",
GV-04-03,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Shadow mapping,
GV-04-04,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Occlusion culling,
GV-04-05,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Bidirectional Scattering Distribution function (BSDF) theory and microfacets,
GV-04-06,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Subsurface scattering,
GV-04-07,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Area light sources,
GV-04-08,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Hierarchical depth buffering,
GV-04-09,GV-04,Advanced Rendering,Graphics and Visualization,GV,,"The Light Field, image-based rendering",
GV-04-10,GV-04,Advanced Rendering,Graphics and Visualization,GV,,Non-photorealistic rendering,
GV-04-11,GV-04,Advanced Rendering,Graphics and Visualization,GV,,GPU architecture,
GV-04-12,GV-04,Advanced Rendering,Graphics and Visualization,GV,,"Human visual systems including adaptation to light, sensitivity to noise, and flicker fusion",
GV-05-01,GV-05,Computer Animation ,Graphics and Visualization,GV,,Forward and inverse kinematics,
GV-05-02,GV-05,Computer Animation ,Graphics and Visualization,GV,,Collision detection and response,
GV-05-03,GV-05,Computer Animation ,Graphics and Visualization,GV,,"Procedural animation using noise, rules (boids/crowds), and particle systems",
GV-05-04,GV-05,Computer Animation ,Graphics and Visualization,GV,,Skinning algorithms,
GV-05-05,GV-05,Computer Animation ,Graphics and Visualization,GV,,"Physics based motions including rigid body dynamics, physical particle systems, mass-spring networks for ",
GV-05-06,GV-05,Computer Animation ,Graphics and Visualization,GV,INFO 1601,Key-frame animation,INFO 1601
GV-05-07,GV-05,Computer Animation ,Graphics and Visualization,GV,,Splines,
GV-05-08,GV-05,Computer Animation ,Graphics and Visualization,GV,,"Data structures forrotations, such as quaternions",
GV-05-09,GV-05,Computer Animation ,Graphics and Visualization,GV,,Camera animation,
GV-05-10,GV-05,Computer Animation ,Graphics and Visualization,GV,,Motion capture,
GV-06-01,GV-06,Visualization ,Graphics and Visualization,GV,COMP 3610,"Visualization of 2D/3D scalar fields: colormapping, isosurfaces",COMP 3610
GV-06-02,GV-06,Visualization ,Graphics and Visualization,GV,,"Direct volume data rendering: ray-casting, transfer functions, segmentation",
GV-06-03,GV-06,Visualization ,Graphics and Visualization,GV,,Visualization of:,
GV-06-04,GV-06,Visualization ,Graphics and Visualization,GV,,Perceptual and cognitive foundationsthat drive visual abstractions,
GV-06-05,GV-06,Visualization ,Graphics and Visualization,GV,COMP 3610,Visualization design,COMP 3610
GV-06-06,GV-06,Visualization ,Graphics and Visualization,GV,,Evaluation of visualization methods,
GV-06-07,GV-06,Visualization ,Graphics and Visualization,GV,"COMP 3610,INFO 2602",Applications of visualization,"COMP 3610,INFO 2602"
HCI-01-01,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Contexts for HCI (anything with a user interface, e.g.,webpage, business applications, mobile applications, ",COMP 3603
HCI-01-02,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Processes for user-centered development, e.g., early focus on users, empirical testing, iterative design",COMP 3603
HCI-01-03,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Different measures for evaluation, e.g.,utility, efficiency, learnability, user satisfaction",COMP 3603
HCI-01-04,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,Usability heuristics and the principles of usability testing,COMP 3603
HCI-01-05,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Physical capabilities that inform interaction design, e.g.,color perception, ergonomics",COMP 3603
HCI-01-06,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Cognitive models that inform interaction design, e.g.,attention, perception and recognition, movement, and ",COMP 3603
HCI-01-07,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Social models that inform interaction design, e.g.,culture, communication, networks and organizations",COMP 3603
HCI-01-08,HCI-01,Foundations ,Human-Computer Interaction,HCI,"COMP 3603,COMP 2603",Principles of good design and good designers; engineering tradeoffs,"COMP 3603,COMP 2603"
HCI-01-09,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Accessibility, e.g.,interfaces for differently-abled populations (e.g.,blind, motion-impaired)",COMP 3603
HCI-01-10,HCI-01,Foundations ,Human-Computer Interaction,HCI,COMP 3603,"Interfaces for differently-aged population groups (e.g., children, 80+)",COMP 3603
HCI-02-01,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,"COMP 3603,INFO 1601",Principles of graphical user interfaces (GUIs),"COMP 3603,INFO 1601"
HCI-02-02,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,"COMP 3603,COMP 2603,INFO 1601","Elements of visual design (layout, color, fonts, labeling)","COMP 3603,COMP 2603,INFO 1601"
HCI-02-03,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,COMP 3603,"Task analysis, including qualitative aspects of generating task analytic models",COMP 3603
HCI-02-04,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,COMP 3603,Low-fidelity (paper) prototyping,COMP 3603
HCI-02-05,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,,"Quantitative evaluation techniques, e.g., keystroke-level evaluation",
HCI-02-06,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,,Help and documentation,
HCI-02-07,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,COMP 3603,Handling human/system failure,COMP 3603
HCI-02-08,HCI-02,Designing Interaction ,Human-Computer Interaction,HCI,,User interface standards ,
HCI-03-01,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,"COMP 3603,COMP 2603,COMP 3607,INFO 2602","Software Architecture Patterns, e.g., Model-View controller; command objects, online, offline (cross  ","COMP 3603,COMP 2603,COMP 3607,INFO 2602"
HCI-03-02,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,COMP 3603,"Interaction Design Patterns: visual hierarchy, navigational distance",COMP 3603
HCI-03-03,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,COMP 2603,Event management and user interaction ,COMP 2603
HCI-03-04,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,,Geometry management (cross-reference GV/Geometric Modelling) ,
HCI-03-05,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,,Choosing interaction styles and interaction techniques ,
HCI-03-06,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,INFO 2602,"Presenting information: navigation, representation, manipulation",INFO 2602
HCI-03-07,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,,"Interface animation techniques (e.g., scene graphs) ",
HCI-03-08,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,,Widget classes and libraries,
HCI-03-09,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,"COMP 2603,COMP 3607,INFO 1601","Modern GUI libraries (e.g. iOS, Android, JavaFX) GUIbuilders and UI programming environments (cross-","COMP 2603,COMP 3607,INFO 1601"
HCI-03-10,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,"INFO 2602,INFO 1601",Declarative Interface Specification: Stylesheets and DOMs ,"INFO 2602,INFO 1601"
HCI-03-11,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,INFO 2602,Data-driven applications (database-backed web pages) ,INFO 2602
HCI-03-12,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,INFO 2602,Cross-platform design ,INFO 2602
HCI-03-13,HCI-03,Programming Interactive Systems,Human-Computer Interaction,HCI,"INFO 2602,INFO 1601","Design for resource-constrained devices(e.g. small, mobile devices)","INFO 2602,INFO 1601"
HCI-04-01,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,"Approaches to, and characteristics of, the design process",COMP 3603
HCI-04-02,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,Functionality and usability requirements (cross-reference to SE/Requirements Engineering),COMP 3603
HCI-04-03,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,"Techniques for gathering requirements, e.g.,interviews, surveys, ethnographic and contextual enquiry",COMP 3603
HCI-04-04,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,"Techniques and tools for the analysis and presentation of requirements, e.g.,reports, personas",COMP 3603
HCI-04-05,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,"COMP 3603,INFO 2602","Prototyping techniques and tools, e.g.,sketching, storyboards, low-fidelity prototyping, wireframes ","COMP 3603,INFO 2602"
HCI-04-06,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,"Evaluation without users, using both qualitative and quantitative techniques, e.g.,walkthroughs, GOMS, ",COMP 3603
HCI-04-07,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,COMP 3603,"Evaluation with users, e.g.,observation, think-aloud, interview, survey, experiment",COMP 3603
HCI-04-08,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,,"Challenges to effective evaluation, e.g.,sampling, generalization",
HCI-04-09,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,,Reporting the results of evaluations,
HCI-04-10,HCI-04,User-Centered Design and Testing,Human-Computer Interaction,HCI,,"Internationalization, designing for users fromother cultures, cross-cultural",
HCI-05-01,HCI-05,New Interactive Technologies,Human-Computer Interaction,HCI,,Choosing interaction styles and interaction techniques,
HCI-05-02,HCI-05,New Interactive Technologies,Human-Computer Interaction,HCI,,"Representing information to users: navigation, representation, manipulation",
HCI-05-03,HCI-05,New Interactive Technologies,Human-Computer Interaction,HCI,,"Approaches to design, implementation and evaluation of non-mouse interaction",
HCI-06-01,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,"Asynchronous group communication, e.g., e-mail, forums, social networks",
HCI-06-02,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,"Synchronous group communication, e.g.,chat rooms, conferencing, online games",
HCI-06-03,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,"Social media, social computing, and social network analysis",
HCI-06-04,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,"Online collaboration, 'smart' spaces, and social coordination aspects of workflow technologies",
HCI-06-05,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,Online communities,
HCI-06-06,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,"Software characters and intelligent agents, virtual worlds and avatars (cross-reference IS/Agents)",
HCI-06-07,HCI-06,Collaboration and  C ommunication ,Human-Computer Interaction,HCI,,Social psychology,
HCI-07-01,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,t-tests,
HCI-07-02,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,ANOVA,
HCI-07-03,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,"Randomization (non-parametric) testing, within vs. between-subjects design",
HCI-07-04,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,, C alculating effect size,
HCI-07-05,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,Exploratory data analysis,
HCI-07-06,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,Presenting statistical data,
HCI-07-07,HCI-07,Statistical Methods for HCI,Human-Computer Interaction,HCI,,Combiningqualitative and quantitative results,
HCI-08-01,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,Applied psychology and security policies,
HCI-08-02,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,Security economics,
HCI-08-03,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,"Regulatory environments – responsibility, liability and self-determination",
HCI-08-04,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,Organizational vulnerabilities and threats,
HCI-08-05,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,Usability design and security,
HCI-08-06,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,"Pretext, impersonation and fraud, e.g., phishing and spear phishing (cross-reference IAS/Threats and ",
HCI-08-07,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,"Trust, privacy and deception",
HCI-08-08,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,"Biometric authentication (camera, voice)",
HCI-08-09,HCI-08,Human Factors and Security ,Human-Computer Interaction,HCI,,Identity management,
HCI-09-01,HCI-09,Design-Oriented HCI ,Human-Computer Interaction,HCI,,Intellectual styles and perspectives to technology andits interfaces,
HCI-09-02,HCI-09,Design-Oriented HCI ,Human-Computer Interaction,HCI,,Consideration of HCI as a designdiscipline,
HCI-09-03,HCI-09,Design-Oriented HCI ,Human-Computer Interaction,HCI,,Critically reflective HCI,
HCI-09-04,HCI-09,Design-Oriented HCI ,Human-Computer Interaction,HCI,,Indicative domains of application,
HCI-10-01,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,Output,
HCI-10-02,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,User input ,
HCI-10-03,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,Physical modelling and rendering,
HCI-10-04,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,System architectures ,
HCI-10-05,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,Networking,
HCI-10-06,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,"CIA (Confidentiality, Integrity, Availability)",
HCI-10-07,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,"Concepts of risk, threats, vulnerabilities, and attack vectors (cros- reference SE/Software Project ",
HCI-10-08,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,INFO 2602,"Authentication and authorization, access control (mandatory vs. discretionary)",INFO 2602
HCI-10-09,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,Concept of trust and trustworthiness,
HCI-10-10,HCI-10,"Mixed, Augmented and Virtual Reality",Human-Computer Interaction,HCI,,"Ethics (responsible disclosure). (cross-reference SP/Professional Ethics/Accountability, responsibility and ",
IAS-01-01,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Least privilege and isolation  (cross-reference OS/Security and Protection/Policy/mechanism separation ,
IAS-01-02,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,"Fail-safe defaults (cross-referenceSE/Software Construction/ Coding practices: techniques, ",
IAS-01-03,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,"Open design (cross-reference SE/Software Evolution/ Software development in the context of large, pre-",
IAS-01-04,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,End-to-end security (cross-reference SF/Reliability through Redundancy/ How errors increase the longer ,
IAS-01-05,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,"Defense in depth  (e.g., defensive programming, layered defense) ",
IAS-01-06,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Security by design (cross-reference SE/Software Design/System design principles),
IAS-01-07,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Tensions between security and other design goals,
IAS-01-08,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Complete mediation,
IAS-01-09,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Use of vetted security components,
IAS-01-10,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,"Economy of mechanism (reducing trusted computing base, minimize attack surface) (cross-reference ",
IAS-01-11,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Usable security (cross-reference HCI/Foundations/Cognitive models that inform interaction design),
IAS-01-12,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,Security composability ,
IAS-01-13,IAS-01,Principles of Secure Design,Information Assurance and Security,IAS,,"Prevention, detection, and deterrence (cross-reference SF/Reliability through Redundancy/Distinction ",
IAS-02-01,IAS-02,Defensive Programming,Information Assurance and Security,IAS,INFO 2602,Input validation and data sanitization (cross-reference SDF/Development Methods/Program Correctness),INFO 2602
IAS-02-02,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Choice of programming languageand type-safe languages,
IAS-02-03,IAS-02,Defensive Programming,Information Assurance and Security,IAS,INFO 2602,Examples of input validation and data sanitization errors (cross-reference SDF/Development ,INFO 2602
IAS-02-04,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Race conditions (cross-reference SF/Parallelism/Parallel programming and PD/Parallel Architecture/Shared ,
IAS-02-05,IAS-02,Defensive Programming,Information Assurance and Security,IAS,INFO 2602,Correct handling of exceptions and unexpectedbehaviors (cross-reference SDF/Development ,INFO 2602
IAS-02-06,IAS-02,Defensive Programming,Information Assurance and Security,IAS,INFO 2602,Correct usage of third-party components (cross-reference SDF/Development Methods/program correctness ,INFO 2602
IAS-02-07,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Effectively deploying security updates (cross-reference OS/Security and Protection/Security methods and ,
IAS-02-08,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Information flow control,
IAS-02-09,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Correctly generating randomness for security purposes,
IAS-02-10,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Mechanisms for detecting andmitigating input and data sanitization errors,
IAS-02-11,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Fuzzing,
IAS-02-12,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Static analysis and dynamic analysis,
IAS-02-13,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,Program verification,
IAS-02-14,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,"Operating system support (e.g., address space randomization, canaries)",
IAS-02-15,IAS-02,Defensive Programming,Information Assurance and Security,IAS,,"Hardware support (e.g., DEP, TPM)",
IAS-03-01,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,"Attacker goals, capabilities, and motivations (such as  underground economy, digital espionage, ",
IAS-03-02,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,"Examples of malware (e.g., viruses, worms, spyware, botnets, Trojan horses or rootkits)",
IAS-03-03,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,Denial of Service (DoS) and Distributed Denial of Service (DDoS),
IAS-03-04,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,"Social engineering (e.g., phishing) (cross-reference SP/Social Context/Social implications of computing in ",
IAS-03-05,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,Attacks on privacy and anonymity (cross-reference HCI/Foundations/Social models that inform interaction ,
IAS-03-06,IAS-03,Threats and Attacks ,Information Assurance and Security,IAS,,Malware/unwanted communication such as covert channelsand steganography,
IAS-04-01,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Network specific threats and attack types (e.g., denial of service, spoofing, sniffing and traffic redirection, ",
IAS-04-02,IAS-04,Network Security ,Information Assurance and Security,IAS,,Use of cryptography for data and network security,
IAS-04-03,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Architectures for secure networks (e.g., secure channels, secure routing protocols, secure DNS, VPNs, ",
IAS-04-04,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Defense mechanisms and countermeasures (e.g., network monitoring, intrusion detection, firewalls, ",
IAS-04-05,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Security for wireless, cellular networks (cross-reference NC/Mobility/Principles of cellular networks; ",
IAS-04-06,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Other non-wired networks (e.g., ad hoc, sensor, and vehicular networks) ",
IAS-04-07,IAS-04,Network Security ,Information Assurance and Security,IAS,,Censorship resistance,
IAS-04-08,IAS-04,Network Security ,Information Assurance and Security,IAS,,"Operational network security management (e.g., configure network access control)",
IAS-05-01,IAS-05,Cryptography,Information Assurance and Security,IAS,,"BasicCryptography Terminology coveringnotions pertaining to the different (communication) partners, ",
IAS-05-02,IAS-05,Cryptography,Information Assurance and Security,IAS,,"Cipher types(e.g., Caesar cipher, affine cipher) together with typical attack methodssuch as frequency ",
IAS-05-03,IAS-05,Cryptography,Information Assurance and Security,IAS,,Public Key Infrastructure support for digital signature and encryption and its challenges,
IAS-05-04,IAS-05,Cryptography,Information Assurance and Security,IAS,,"Mathematical Preliminaries essential for cryptography, includingtopics in linear algebra, number theory, ",
IAS-05-05,IAS-05,Cryptography,Information Assurance and Security,IAS,,Cryptographic primitives:,
IAS-05-06,IAS-05,Cryptography,Information Assurance and Security,IAS,,Symmetric key cryptography,
IAS-05-07,IAS-05,Cryptography,Information Assurance and Security,IAS,,Public key cryptography:,
IAS-05-08,IAS-05,Cryptography,Information Assurance and Security,IAS,,"Authenticated key exchange protocols, e.g., TLS",
IAS-05-09,IAS-05,Cryptography,Information Assurance and Security,IAS,,"Cryptographic protocols: challenge-response authentication, zero-knowledge protocols, commitment, ",
IAS-05-10,IAS-05,Cryptography,Information Assurance and Security,IAS,,"Motivate concepts using real-world applications, e.g., electronic cash, secure channels between clients and ",
IAS-05-11,IAS-05,Cryptography,Information Assurance and Security,IAS,,Security definitions and attacks on cryptographic primitives:,
IAS-05-12,IAS-05,Cryptography,Information Assurance and Security,IAS,,Cryptographic standards and references implementations,
IAS-05-13,IAS-05,Cryptography,Information Assurance and Security,IAS,,Quantum cryptography,
IAS-06-01,IAS-06,Web Security,Information Assurance and Security,IAS,,Web security model,
IAS-06-02,IAS-06,Web Security,Information Assurance and Security,IAS,INFO 2602,"Session management, authentication",INFO 2602
IAS-06-03,IAS-06,Web Security,Information Assurance and Security,IAS,,Application vulnerabilities and defenses,
IAS-06-04,IAS-06,Web Security,Information Assurance and Security,IAS,INFO 2602,Client-side security,INFO 2602
IAS-06-05,IAS-06,Web Security,Information Assurance and Security,IAS,,"Server-side security tools, e.g. Web Application Firewalls (WAFs) and fuzzers",
IAS-07-01,IAS-07,Platform Security,Information Assurance and Security,IAS,,Code integrity and code signing,
IAS-07-02,IAS-07,Platform Security,Information Assurance and Security,IAS,,"Secure boot, measured boot, and root of trust",
IAS-07-03,IAS-07,Platform Security,Information Assurance and Security,IAS,,Attestation,
IAS-07-04,IAS-07,Platform Security,Information Assurance and Security,IAS,,TPM and secure co-processors,
IAS-07-05,IAS-07,Platform Security,Information Assurance and Security,IAS,,"Security threats from peripherals, e.g., DMA, IOMMU",
IAS-07-06,IAS-07,Platform Security,Information Assurance and Security,IAS,,"Physical attacks: hardware Trojans, memory probes, cold boot attacks",
IAS-07-07,IAS-07,Platform Security,Information Assurance and Security,IAS,,"Security of embedded devices, e.g., medical devices, cars",
IAS-07-08,IAS-07,Platform Security,Information Assurance and Security,IAS,,Trusted path,
IAS-08-01,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Privacy policy  (cross-reference SP/Social Context/Social implications of computing in a networked world; ,
IAS-08-02,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Inference controls/statistical disclosure limitation,
IAS-08-03,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,"Backup policy, password refresh policy",
IAS-08-04,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Breach disclosure policy,
IAS-08-05,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Data collection and retention policies,
IAS-08-06,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Supply chain policy,
IAS-08-07,IAS-08,Security Policy and Governance,Information Assurance and Security,IAS,,Cloud security tradeoffs,
IAS-09-01,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Basic Principles and methodologies for digital forensics,
IAS-09-02,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Design systems with forensic needs in mind,
IAS-09-03,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Rules of Evidence – general concepts and differences between jurisdictions and Chain of Custody,
IAS-09-04,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Search and Seizure of evidence: legal and procedural requirements,
IAS-09-05,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,DigitalEvidence methods and standards,
IAS-09-06,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Techniques and standards for Preservation of Data,
IAS-09-07,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Legal and Reporting Issues including working as an expert witness,
IAS-09-08,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,OS/File System Forensics,
IAS-09-09,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Application Forensics ,
IAS-09-10,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Web Forensics,
IAS-09-11,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Network Forensics,
IAS-09-12,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Mobile Device Forensics,
IAS-09-13,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Computer/network/system attacks,
IAS-09-14,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Attack detection and investigation,
IAS-09-15,IAS-09,Digital Forensics,Information Assurance and Security,IAS,,Anti-forensics,
IAS-10-01,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Building security into the software development lifecycle (cross-reference SE/Software Processes),
IAS-10-02,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Secure design principles and patterns,
IAS-10-03,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Secure software specifications and requirements ,
IAS-10-04,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Secure software development practices (cross-reference SE/Software Construction),
IAS-10-05,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Secure testing - the process of testing that security requirements are met (including static and dynamic ,
IAS-10-06,IAS-10,Secure Software Engineering,Information Assurance and Security,IAS,,Software quality assurance andbenchmarking measurements,
IM-01-01,IM-01,InformationManagementConcepts,Information Management,IM,INFO 3600,Information systems as socio-technical systems,INFO 3600
IM-01-02,IM-01,InformationManagementConcepts,Information Management,IM,COMP 2605,Basic information storage and retrieval(IS&R) concepts,COMP 2605
IM-01-03,IM-01,InformationManagementConcepts,Information Management,IM,COMP 2605,Information capture and representation,COMP 2605
IM-01-04,IM-01,InformationManagementConcepts,Information Management,IM,,"Supporting human needs: searching, retrieving, linking, browsing, navigating",
IM-01-05,IM-01,InformationManagementConcepts,Information Management,IM,INFO 3600,Information management applications ,INFO 3600
IM-01-06,IM-01,InformationManagementConcepts,Information Management,IM,,"Declarative and navigational queries, use of links",
IM-01-07,IM-01,InformationManagementConcepts,Information Management,IM,,Analysis and indexing,
IM-01-08,IM-01,InformationManagementConcepts,Information Management,IM,INFO 3600,"Quality issues: reliability, scalability, efficiency, and effectiveness",INFO 3600
