topicId,topic,domainId,subdomain,subdomainId,domain,tier,courses
GV-03-01,Basic geometric operations such as intersection calculation and proximity tests,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-02,"Volumes, voxels, and point-based representations",GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-03,Parametricpolynomial curves and surfaces,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-04,Implicit representation of curves and surfaces,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-05,"Approximation techniques such as polynomial curves, Bezier curves, spline curves and surfaces, and non-",GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-06,"Surface representation techniques including tessellation, mesh representation, mesh fairing,and mesh ",GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-07,Spatial subdivision techniques,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-08,"Procedural models such as fractals, generative modeling, and L-systems",GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-09,"Graftals, cross referenced with programming languages (grammars to generated pictures)",GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-10,Elastically deformableand freeform deformable models,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-11,Subdivision surfaces,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-12,Multiresolution modeling,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-13,Reconstruction,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-03-14,Constructive Solid Geometry (CSG) representation,GV,Geometric Modeling ,GV-03,Graphics and Visualization,Elective,
GV-04-01,"Solutions and approximations to the rendering equation, for example:",GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-02,"Time (motion blur), lens position (focus), and continuous frequency (color) and their impact on rendering",GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-03,Shadow mapping,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-04,Occlusion culling,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-05,Bidirectional Scattering Distribution function (BSDF) theory and microfacets,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-06,Subsurface scattering,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-07,Area light sources,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-08,Hierarchical depth buffering,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-09,"The Light Field, image-based rendering",GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-10,Non-photorealistic rendering,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-11,GPU architecture,GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-04-12,"Human visual systems including adaptation to light, sensitivity to noise, and flicker fusion",GV,Advanced Rendering,GV-04,Graphics and Visualization,Elective,
GV-05-01,Forward and inverse kinematics,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-02,Collision detection and response,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,COMP 3609
GV-05-03,"Procedural animation using noise, rules (boids/crowds), and particle systems",GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-04,Skinning algorithms,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-05,"Physics based motions including rigid body dynamics, physical particle systems, mass-spring networks for ",GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,COMP 3609
GV-05-06,Key-frame animation,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-07,Splines,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-08,"Data structures forrotations, such as quaternions",GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-09,Camera animation,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-05-10,Motion capture,GV,Computer Animation ,GV-05,Graphics and Visualization,Elective,
GV-06-01,"Visualization of 2D/3D scalar fields: colormapping, isosurfaces",GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-02,"Direct volume data rendering: ray-casting, transfer functions, segmentation",GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-03,Visualization of:,GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-04,Perceptual and cognitive foundationsthat drive visual abstractions,GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-05,Visualization design,GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-06,Evaluation of visualization methods,GV,Visualization ,GV-06,Graphics and Visualization,Elective,
GV-06-07,Applications of visualization,GV,Visualization ,GV-06,Graphics and Visualization,Elective,
HCI-01-01,"Contexts for HCI (anything with a user interface, e.g.,webpage, business applications, mobile applications, ",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-02,"Processes for user-centered development, e.g., early focus on users, empirical testing, iterative design",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-03,"Different measures for evaluation, e.g.,utility, efficiency, learnability, user satisfaction",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-04,Usability heuristics and the principles of usability testing,HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-05,"Physical capabilities that inform interaction design, e.g.,color perception, ergonomics",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-06,"Cognitive models that inform interaction design, e.g.,attention, perception and recognition, movement, and ",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-07,"Social models that inform interaction design, e.g.,culture, communication, networks and organizations",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 3603
HCI-01-08,Principles of good design and good designers; engineering tradeoffs,HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,COMP 2603
HCI-01-09,"Accessibility, e.g.,interfaces for differently-abled populations (e.g.,blind, motion-impaired)",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,
HCI-01-10,"Interfaces for differently-aged population groups (e.g., children, 80+)",HCI,Foundations ,HCI-01,Human-Computer Interaction,Tier 1,
HCI-02-01,Principles of graphical user interfaces (GUIs),HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,COMP 3603
HCI-02-02,"Elements of visual design (layout, color, fonts, labeling)",HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,"COMP 2603,COMP 3603"
HCI-02-03,"Task analysis, including qualitative aspects of generating task analytic models",HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,COMP 3603
HCI-02-04,Low-fidelity (paper) prototyping,HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,
HCI-02-05,"Quantitative evaluation techniques, e.g., keystroke-level evaluation",HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,
HCI-02-06,Help and documentation,HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,
HCI-02-07,Handling human/system failure,HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,COMP 3603
HCI-02-08,User interface standards ,HCI,Designing Interaction ,HCI-02,Human-Computer Interaction,Tier 2,COMP 3603
HCI-03-01,"Software Architecture Patterns, e.g., Model-View controller; command objects, online, offline (cross  ",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,"COMP 2603,COMP 3607"
HCI-03-02,"Interaction Design Patterns: visual hierarchy, navigational distance",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,COMP 3603
HCI-03-03,Event management and user interaction ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,COMP 2603
HCI-03-04,Geometry management (cross-reference GV/Geometric Modelling) ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-05,Choosing interaction styles and interaction techniques ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-06,"Presenting information: navigation, representation, manipulation",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-07,"Interface animation techniques (e.g., scene graphs) ",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-08,Widget classes and libraries,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-09,"Modern GUI libraries (e.g. iOS, Android, JavaFX) GUIbuilders and UI programming environments (cross-",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,COMP 2603
HCI-03-10,Declarative Interface Specification: Stylesheets and DOMs ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-11,Data-driven applications (database-backed web pages) ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-12,Cross-platform design ,HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,
HCI-03-13,"Design for resource-constrained devices(e.g. small, mobile devices)",HCI,Programming Interactive Systems,HCI-03,Human-Computer Interaction,Elective,COMP 3603
HCI-04-01,"Approaches to, and characteristics of, the design process",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-02,Functionality and usability requirements (cross-reference to SE/Requirements Engineering),HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-03,"Techniques for gathering requirements, e.g.,interviews, surveys, ethnographic and contextual enquiry",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-04,"Techniques and tools for the analysis and presentation of requirements, e.g.,reports, personas",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,COMP 3603
HCI-04-05,"Prototyping techniques and tools, e.g.,sketching, storyboards, low-fidelity prototyping, wireframes ",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-06,"Evaluation without users, using both qualitative and quantitative techniques, e.g.,walkthroughs, GOMS, ",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,COMP 3603
HCI-04-07,"Evaluation with users, e.g.,observation, think-aloud, interview, survey, experiment",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,COMP 3603
HCI-04-08,"Challenges to effective evaluation, e.g.,sampling, generalization",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-09,Reporting the results of evaluations,HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-04-10,"Internationalization, designing for users fromother cultures, cross-cultural",HCI,User-Centered Design and Testing,HCI-04,Human-Computer Interaction,Elective,
HCI-05-01,Choosing interaction styles and interaction techniques,HCI,New Interactive Technologies,HCI-05,Human-Computer Interaction,Elective,
HCI-05-02,"Representing information to users: navigation, representation, manipulation",HCI,New Interactive Technologies,HCI-05,Human-Computer Interaction,Elective,
HCI-05-03,"Approaches to design, implementation and evaluation of non-mouse interaction",HCI,New Interactive Technologies,HCI-05,Human-Computer Interaction,Elective,
HCI-06-01,"Asynchronous group communication, e.g., e-mail, forums, social networks",HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-02,"Synchronous group communication, e.g.,chat rooms, conferencing, online games",HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-03,"Social media, social computing, and social network analysis",HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-04,"Online collaboration, 'smart' spaces, and social coordination aspects of workflow technologies",HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-05,Online communities,HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-06,"Software characters and intelligent agents, virtual worlds and avatars (cross-reference IS/Agents)",HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-06-07,Social psychology,HCI,Collaboration and  C ommunication ,HCI-06,Human-Computer Interaction,Elective,
HCI-07-01,t-tests,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-02,ANOVA,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-03,"Randomization (non-parametric) testing, within vs. between-subjects design",HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-04, C alculating effect size,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-05,Exploratory data analysis,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-06,Presenting statistical data,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-07-07,Combiningqualitative and quantitative results,HCI,Statistical Methods for HCI,HCI-07,Human-Computer Interaction,Elective,
HCI-08-01,Applied psychology and security policies,HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,
HCI-08-02,Security economics,HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,
HCI-08-03,"Regulatory environments – responsibility, liability and self-determination",HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,
HCI-08-04,Organizational vulnerabilities and threats,HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,INFO 2605
HCI-08-05,Usability design and security,HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,COMP 3603
HCI-08-06,"Pretext, impersonation and fraud, e.g., phishing and spear phishing (cross-reference IAS/Threats and ",HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,
HCI-08-07,"Trust, privacy and deception",HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,INFO 2605
HCI-08-08,"Biometric authentication (camera, voice)",HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,INFO 2604
HCI-08-09,Identity management,HCI,Human Factors and Security ,HCI-08,Human-Computer Interaction,Elective,
HCI-09-01,Intellectual styles and perspectives to technology andits interfaces,HCI,Design-Oriented HCI ,HCI-09,Human-Computer Interaction,Elective,INFO 2605
HCI-09-02,Consideration of HCI as a designdiscipline,HCI,Design-Oriented HCI ,HCI-09,Human-Computer Interaction,Elective,
HCI-09-03,Critically reflective HCI,HCI,Design-Oriented HCI ,HCI-09,Human-Computer Interaction,Elective,
HCI-09-04,Indicative domains of application,HCI,Design-Oriented HCI ,HCI-09,Human-Computer Interaction,Elective,
HCI-10-01,Output,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-02,User input ,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-03,Physical modelling and rendering,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-04,System architectures ,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-05,Networking,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-06,"CIA (Confidentiality, Integrity, Availability)",HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,INFO 2605
HCI-10-07,"Concepts of risk, threats, vulnerabilities, and attack vectors (cros- reference SE/Software Project ",HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-08,"Authentication and authorization, access control (mandatory vs. discretionary)",HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-09,Concept of trust and trustworthiness,HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,
HCI-10-10,"Ethics (responsible disclosure). (cross-reference SP/Professional Ethics/Accountability, responsibility and ",HCI,"Mixed, Augmented and Virtual Reality",HCI-10,Human-Computer Interaction,Elective,INFO 2605
IAS-01-01,Least privilege and isolation  (cross-reference OS/Security and Protection/Policy/mechanism separation ,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-02,"Fail-safe defaults (cross-referenceSE/Software Construction/ Coding practices: techniques, ",IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-03,"Open design (cross-reference SE/Software Evolution/ Software development in the context of large, pre-",IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-04,End-to-end security (cross-reference SF/Reliability through Redundancy/ How errors increase the longer ,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-05,"Defense in depth  (e.g., defensive programming, layered defense) ",IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-06,Security by design (cross-reference SE/Software Design/System design principles),IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-07,Tensions between security and other design goals,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 1,
IAS-01-08,Complete mediation,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-01-09,Use of vetted security components,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-01-10,"Economy of mechanism (reducing trusted computing base, minimize attack surface) (cross-reference ",IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-01-11,Usable security (cross-reference HCI/Foundations/Cognitive models that inform interaction design),IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-01-12,Security composability ,IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-01-13,"Prevention, detection, and deterrence (cross-reference SF/Reliability through Redundancy/Distinction ",IAS,Principles of Secure Design,IAS-01,Information Assurance and Security,Tier 2,
IAS-02-01,Input validation and data sanitization (cross-reference SDF/Development Methods/Program Correctness),IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 1,INFO 2604
IAS-02-02,Choice of programming languageand type-safe languages,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 1,
IAS-02-03,Examples of input validation and data sanitization errors (cross-reference SDF/Development ,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 1,
IAS-02-04,Race conditions (cross-reference SF/Parallelism/Parallel programming and PD/Parallel Architecture/Shared ,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 1,
IAS-02-05,Correct handling of exceptions and unexpectedbehaviors (cross-reference SDF/Development ,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 1,INFO 2604
IAS-02-06,Correct usage of third-party components (cross-reference SDF/Development Methods/program correctness ,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 2,
IAS-02-07,Effectively deploying security updates (cross-reference OS/Security and Protection/Security methods and ,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Tier 2,
IAS-02-08,Information flow control,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-09,Correctly generating randomness for security purposes,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-10,Mechanisms for detecting andmitigating input and data sanitization errors,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-11,Fuzzing,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-12,Static analysis and dynamic analysis,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-13,Program verification,IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-14,"Operating system support (e.g., address space randomization, canaries)",IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-02-15,"Hardware support (e.g., DEP, TPM)",IAS,Defensive Programming,IAS-02,Information Assurance and Security,Elective,
IAS-03-01,"Attacker goals, capabilities, and motivations (such as  underground economy, digital espionage, ",IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Tier 2,INFO 2605
IAS-03-02,"Examples of malware (e.g., viruses, worms, spyware, botnets, Trojan horses or rootkits)",IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Tier 2,INFO 2605
IAS-03-03,Denial of Service (DoS) and Distributed Denial of Service (DDoS),IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Tier 2,
IAS-03-04,"Social engineering (e.g., phishing) (cross-reference SP/Social Context/Social implications of computing in ",IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Tier 2,
IAS-03-05,Attacks on privacy and anonymity (cross-reference HCI/Foundations/Social models that inform interaction ,IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Elective,INFO 2605
IAS-03-06,Malware/unwanted communication such as covert channelsand steganography,IAS,Threats and Attacks ,IAS-03,Information Assurance and Security,Elective,
IAS-04-01,"Network specific threats and attack types (e.g., denial of service, spoofing, sniffing and traffic redirection, ",IAS,Network Security ,IAS-04,Information Assurance and Security,Tier 2,
IAS-04-02,Use of cryptography for data and network security,IAS,Network Security ,IAS-04,Information Assurance and Security,Tier 2,
IAS-04-03,"Architectures for secure networks (e.g., secure channels, secure routing protocols, secure DNS, VPNs, ",IAS,Network Security ,IAS-04,Information Assurance and Security,Tier 2,
IAS-04-04,"Defense mechanisms and countermeasures (e.g., network monitoring, intrusion detection, firewalls, ",IAS,Network Security ,IAS-04,Information Assurance and Security,Tier 2,INFO 2604
IAS-04-05,"Security for wireless, cellular networks (cross-reference NC/Mobility/Principles of cellular networks; ",IAS,Network Security ,IAS-04,Information Assurance and Security,Elective,
IAS-04-06,"Other non-wired networks (e.g., ad hoc, sensor, and vehicular networks) ",IAS,Network Security ,IAS-04,Information Assurance and Security,Elective,
IAS-04-07,Censorship resistance,IAS,Network Security ,IAS-04,Information Assurance and Security,Elective,
IAS-04-08,"Operational network security management (e.g., configure network access control)",IAS,Network Security ,IAS-04,Information Assurance and Security,Elective,
IAS-05-01,"BasicCryptography Terminology coveringnotions pertaining to the different (communication) partners, ",IAS,Cryptography,IAS-05,Information Assurance and Security,Tier 2,INFO 2604
IAS-05-02,"Cipher types(e.g., Caesar cipher, affine cipher) together with typical attack methodssuch as frequency ",IAS,Cryptography,IAS-05,Information Assurance and Security,Tier 2,INFO 2604
IAS-05-03,Public Key Infrastructure support for digital signature and encryption and its challenges,IAS,Cryptography,IAS-05,Information Assurance and Security,Tier 2,INFO 2604
IAS-05-04,"Mathematical Preliminaries essential for cryptography, includingtopics in linear algebra, number theory, ",IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-05,Cryptographic primitives:,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-06,Symmetric key cryptography,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-07,Public key cryptography:,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-08,"Authenticated key exchange protocols, e.g., TLS",IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-09,"Cryptographic protocols: challenge-response authentication, zero-knowledge protocols, commitment, ",IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-10,"Motivate concepts using real-world applications, e.g., electronic cash, secure channels between clients and ",IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-11,Security definitions and attacks on cryptographic primitives:,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-12,Cryptographic standards and references implementations,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-05-13,Quantum cryptography,IAS,Cryptography,IAS-05,Information Assurance and Security,Elective,
IAS-06-01,Web security model,IAS,Web Security,IAS-06,Information Assurance and Security,Elective,
IAS-06-02,"Session management, authentication",IAS,Web Security,IAS-06,Information Assurance and Security,Elective,INFO 2604
IAS-06-03,Application vulnerabilities and defenses,IAS,Web Security,IAS-06,Information Assurance and Security,Elective,
IAS-06-04,Client-side security,IAS,Web Security,IAS-06,Information Assurance and Security,Elective,
IAS-06-05,"Server-side security tools, e.g. Web Application Firewalls (WAFs) and fuzzers",IAS,Web Security,IAS-06,Information Assurance and Security,Elective,
IAS-07-01,Code integrity and code signing,IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-02,"Secure boot, measured boot, and root of trust",IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-03,Attestation,IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-04,TPM and secure co-processors,IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-05,"Security threats from peripherals, e.g., DMA, IOMMU",IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-06,"Physical attacks: hardware Trojans, memory probes, cold boot attacks",IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-07,"Security of embedded devices, e.g., medical devices, cars",IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-07-08,Trusted path,IAS,Platform Security,IAS-07,Information Assurance and Security,Elective,
IAS-08-01,Privacy policy  (cross-reference SP/Social Context/Social implications of computing in a networked world; ,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-02,Inference controls/statistical disclosure limitation,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-03,"Backup policy, password refresh policy",IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-04,Breach disclosure policy,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-05,Data collection and retention policies,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-06,Supply chain policy,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-08-07,Cloud security tradeoffs,IAS,Security Policy and Governance,IAS-08,Information Assurance and Security,Elective,
IAS-09-01,Basic Principles and methodologies for digital forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-02,Design systems with forensic needs in mind,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-03,Rules of Evidence – general concepts and differences between jurisdictions and Chain of Custody,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-04,Search and Seizure of evidence: legal and procedural requirements,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-05,DigitalEvidence methods and standards,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-06,Techniques and standards for Preservation of Data,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-07,Legal and Reporting Issues including working as an expert witness,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-08,OS/File System Forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-09,Application Forensics ,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-10,Web Forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-11,Network Forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-12,Mobile Device Forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-13,Computer/network/system attacks,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-14,Attack detection and investigation,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-09-15,Anti-forensics,IAS,Digital Forensics,IAS-09,Information Assurance and Security,Elective,
IAS-10-01,Building security into the software development lifecycle (cross-reference SE/Software Processes),IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
IAS-10-02,Secure design principles and patterns,IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
IAS-10-03,Secure software specifications and requirements ,IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
IAS-10-04,Secure software development practices (cross-reference SE/Software Construction),IAS,Secure Software Engineering,IAS-10,Information Assurance and Security,Elective,
